"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Buff-rumped Thornbill","Yes","No","No","No","No"
"Blue Rock-Thrush","Yes","No","No","No","No"
"Buff-rumped Warbler","Yes","No","No","No","No"
"Bushtit","Yes","No","No","No","No"
"Blue-throated Flycatcher","Yes","No","No","No","No"
"Chiriqui Foliage-gleaner","Yes","No","No","No","No"
"Fawn-throated Foliage-gleaner","Yes","No","No","No","No"
"Blue-throated Mountain-gem","Yes","No","No","No","No"
"Bush Thick-knee","Yes","No","No","No","No"
"Buff-throated Saltator","Yes","No","No","No","No"
"Blue-vented Hummingbird","Yes","No","No","No","No"
"Buff-winged Cinclodes","Yes","No","No","No","No"
"Blue-winged Teal","Yes","No","No","No","Yes"
"Blue-winged Warbler","Yes","No","No","No","No"
"Black-winged Ground Dove","Yes","No","No","No","No"
"Cackling Goose","Yes","No","No","No","No"
"Cactus Wren","Yes","No","No","No","No"
"Campbell Islands Shag","Yes","No","No","No","No"
"Campbell Islands Teal","Yes","No","No","No","No"
"California Condor","Yes","No","No","No","No"
"California Gnatcatcher","Yes","No","No","No","No"
"California Gull","Yes","No","No","No","No"
"Calliope Hummingbird","Yes","No","No","No","No"
"Calandra Lark","Yes","No","No","No","No"
"California Quail","Yes","No","No","No","No"
"California Thrasher","Yes","No","No","No","No"
"California Towhee","Yes","No","No","No","No"
"Cape May Warbler","Yes","Yes","No","No","No"
"Canyon Canastero","Yes","No","No","No","No"
"Canivet's Emerald","Yes","No","No","No","No"
"Canada Goose","Yes","No","No","No","No"
"Canyon Towhee","Yes","No","No","No","No"
"Canvasback","Yes","No","No","No","Yes"
"Canada Warbler","Yes","Yes","Yes","No","No"
"Canyon Wren","Yes","No","No","No","No"
"Cape Griffon","Yes","No","No","No","No"
"Capped Heron","Yes","No","No","No","No"
"Central American Pygmy-Owl","Yes","No","No","No","No"
"Pintado Petrel","Yes","No","No","No","No"
"Cape Shoveler","Yes","No","No","No","No"
"Cape Sparrow","Yes","No","No","No","No"
"Cape Sugarbird","Yes","No","No","No","No"
"Cape Teal","Yes","No","No","No","No"
"Carolina Chickadee","Yes","No","No","No","No"
"Caribbean Dove","Yes","No","No","No","No"
"Caribbean Elaenia","Yes","No","No","No","No"
"Carib Grackle","Yes","No","No","No","No"
"Caribbean Martin","Yes","No","No","No","No"
"Carolina Wren","Yes","No","No","No","No"
"Cassin's Auklet","Yes","No","No","No","No"
"Cassin's Finch","Yes","No","No","No","No"
"Cassin's Kingbird","Yes","No","No","No","No"
"Cassin's Sparrow","Yes","No","No","No","No"
"Caspian Tern","Yes","No","No","No","No"
"Cassin's Vireo","Yes","No","No","No","No"
"Western Cattle-Egret","Yes","No","No","No","No"
"Eastern Cattle-Egret","Yes","No","No","No","No"
"Cattle Tyrant","Yes","No","No","No","No"
"Cauca Guan","Yes","No","No","No","No"
"Cave Swallow","Yes","No","No","No","No"
"White-bridled Finch","Yes","No","No","No","No"
"Chestnut-capped Brushfinch","Yes","No","No","No","No"
"Cedar Waxwing","Yes","Yes","No","No","No"
"Cerulean Warbler","Yes","No","No","No","No"
"Cetti's Warbler","Yes","No","No","No","No"
"Charming Hummingbird","Yes","No","No","No","No"
"Chatham Islands Oystercatcher","Yes","No","No","No","No"
"Chestnut-backed Antbird","Yes","No","No","No","No"
"Chestnut-backed Chickadee","Yes","No","No","No","No"
"Channel-billed Cuckoo","Yes","No","No","No","No"
"Chestnut-bellied Cuckoo","Yes","No","No","No","No"
"Chestnut-headed Bee-eater","Yes","No","No","No","No"
"Chalk-browed Mockingbird","Yes","No","No","No","No"
"Indian Nuthatch","Yes","No","No","No","No"
"Chestnut-bellied Nuthatch","Yes","No","No","No","No"
"Burmese Nuthatch","Yes","No","No","No","No"
"Chestnut-backed Tanager","Yes","No","No","No","No"
"Channel-billed Toucan","Yes","No","No","No","No"
"Chestnut-crowned Antpitta","Yes","No","No","No","No"
"Chestnut-capped Blackbird","Yes","No","No","No","No"
"Chestnut-crowned Laughingthrush","Yes","No","No","No","No"
"Chestnut-collared Longspur","Yes","No","No","Yes","No"
"Chestnut-collared Swift","Yes","No","No","No","No"
"Chestnut-colored Woodpecker","Yes","No","No","No","No"
"Chestnut Bulbul","Yes","No","No","No","No"
"Chestnut Munia","Yes","No","No","No","No"
"Chestnut Woodpecker","Yes","No","No","No","No"
"Chestnut-fronted Macaw","Yes","No","No","No","No"
"Chestnut-headed Oropendola","Yes","No","No","No","No"
"Chestnut-headed Tesia","Yes","No","No","No","No"
"Chinese Blackbird","Yes","No","No","No","No"
"Chimango Caracara","Yes","No","No","No","No"
"Chinese Egret","Yes","No","No","No","No"
"Chilean Flamingo","Yes","No","No","No","No"
"Chilean Flicker","Yes","No","No","No","No"
"Chatham Islands Gerygone","Yes","No","No","No","No"
"Chilean Mockingbird","Yes","No","No","No","No"
"Chilean Pigeon","Yes","No","No","No","No"
"Chihuahuan Raven","Yes","No","No","No","No"
"Chatham Islands Shag","Yes","No","No","No","No"
"Chilean Skua","Yes","No","No","No","No"
"Chipping Sparrow","Yes","Yes","Yes","No","No"
"Chilean Swallow","Yes","No","No","No","No"
"Chimney Swift","Yes","No","No","No","No"
"Chiguanco Thrush","Yes","No","No","No","No"
"Chilean Tinamou","Yes","No","No","No","No"
"Chivi Vireo","Yes","No","No","No","No"
"Chiloe Wigeon","Yes","No","No","No","No"
"Chilean Woodstar","Yes","No","No","No","No"
"Chinese Pond-Heron","Yes","No","No","No","No"
"Chinese Penduline-Tit","Yes","No","No","No","No"
"Chiriqui Quail-Dove","Yes","No","No","No","No"
"Chestnut-sided Warbler","Yes","Yes","No","No","No"
"Checker-throated Stipplethroat","Yes","No","No","No","No"
"Chestnut-throated Seedeater","Yes","No","No","No","No"
"Chestnut-tailed Starling","Yes","No","No","No","No"
"Chukar","Yes","No","No","No","No"
"Chucao Tapaculo","Yes","No","No","No","No"
"Chocolate-vented Tyrant","Yes","No","No","No","No"
"Chestnut-winged Chachalaca","Yes","No","No","No","No"
"Chestnut-winged Cuckoo","Yes","No","No","No","No"
"Chestnut Wood-Quail","Yes","No","No","No","No"
"Chuck-will's-widow","Yes","No","No","No","No"
"Cinnamon-bellied Flowerpiercer","Yes","No","No","No","No"
"Cinnamon-bellied Ground-Tyrant","Yes","No","No","No","No"
"Cinnamon Becard","Yes","No","No","No","No"
"Cinnamon Bittern","Yes","No","No","No","No"
"Cinereous Conebill","Yes","No","No","No","No"
"Cinereous Ground-Tyrant","Yes","No","No","No","No"
"Cinereous Harrier","Yes","No","No","No","No"
"Cinnamon Hummingbird","Yes","No","No","No","No"
"Cinnamon Teal","Yes","No","No","No","No"
"Cinereous Vulture","Yes","No","No","No","No"
"Cinnamon Woodpecker","Yes","No","No","No","No"
"Cirl Bunting","Yes","No","No","No","No"
"Cinnamon-tailed Sparrow","Yes","No","No","No","No"
"Citreoline Trogon","Yes","No","No","No","No"
"Citrine Warbler","Yes","No","No","No","No"
"Clark's Grebe","Yes","No","No","No","No"
"Clark's Nutcracker","Yes","No","No","No","No"
"Clapper Rail","Yes","No","No","No","No"
"Clay-colored Thrush","Yes","No","No","No","No"
"Clay-colored Sparrow","Yes","Yes","No","Yes","No"
"Cliff Swallow","Yes","Yes","No","No","No"
"Coal Tit","Yes","No","No","No","No"
"Common Chlorospingus","Yes","No","No","No","No"
"Cocoi Heron","Yes","No","No","No","No"
"Cockatiel","Yes","No","No","No","No"
"Cocoa Thrush","Yes","No","No","No","No"
"Cocoa Woodcreeper","Yes","No","No","No","No"
"Diuca Finch","Yes","No","No","No","No"
"Common Diving-Petrel","Yes","No","No","No","No"
"Collared Forest-Falcon","Yes","No","No","No","No"
"Common Ground Dove","Yes","No","No","No","No"
"Common Grasshopper Warbler","Yes","No","No","No","No"
"Coppery-headed Emerald","Yes","No","No","No","No"
"Collared Antshrike","Yes","No","No","No","No"
"Collared Aracari","Yes","No","No","No","No"
"Colombian Chachalaca","Yes","No","No","No","No"
"Collared Crow","Yes","No","No","No","No"
"Collared Finchbill","Yes","No","No","No","No"
"Collared Inca","Yes","No","No","No","No"
"Collared Kingfisher","Yes","No","No","No","No"
"Collared Owlet","Yes","No","No","No","No"
"Collared Plover","Yes","No","No","No","No"
"Collared Pratincole","Yes","No","No","No","No"
"Collared Redstart","Yes","No","No","No","No"
"Collared Sparrowhawk","Yes","No","No","No","No"
"Collared Towhee","Yes","No","No","No","No"
"Collared Trogon","Yes","No","No","No","No"
"Colima Warbler","Yes","No","No","No","No"
"Common Black Hawk","Yes","No","No","No","No"
"Common Bulbul","Yes","No","No","No","No"
"Common Buzzard","Yes","No","No","No","No"
"Eastern Buzzard","Yes","No","No","No","No"
"Common Chaffinch","Yes","No","No","No","No"
"Common Chiffchaff","Yes","No","No","No","No"
"Common Crane","Yes","No","No","No","No"
"Common Cuckoo","Yes","No","No","No","No"
"Common Eider","Yes","No","No","No","No"
"Common Flameback","Yes","No","No","No","No"
"Common Gallinule","Yes","No","No","No","No"
"Common Goldeneye","Yes","No","No","No","No"
"Common Grackle","Yes","Yes","No","No","No"
"Common Greenshank","Yes","No","No","No","No"
"Western House-Martin","Yes","No","No","No","No"
"Common Kingfisher","Yes","No","No","No","No"
"Common Loon","Yes","No","No","No","No"
"Common Merganser","Yes","No","No","No","No"
"Common Miner","Yes","No","No","No","No"
"Common Murre","Yes","No","No","No","No"
"Common Myna","Yes","No","No","No","No"
"Common Nighthawk","Yes","No","No","No","No"
"Common Nightingale","Yes","No","No","No","No"
"Common Pauraque","Yes","No","No","No","No"
"Indian Peafowl","Yes","No","No","No","No"
"Common Pochard","Yes","No","No","No","No"
"Common Poorwill","Yes","No","No","No","No"
"Common Potoo","Yes","No","No","No","No"
"Common Quail","Yes","No","No","No","No"
"Common Raven","Yes","Yes","No","No","No"
"Common Redshank","Yes","No","No","No","No"
"Common Redstart","Yes","No","No","No","No"
"Common Sandpiper","Yes","No","No","No","No"
"Common Snipe","Yes","No","No","No","No"
"Common Swift","Yes","No","No","No","No"
"Common Tailorbird","Yes","No","No","No","No"
"Common Tern","Yes","No","No","No","No"
"Common Waxbill","Yes","No","No","No","No"
"Common Yellowthroat","Yes","Yes","No","No","No"
"Connecticut Warbler","Yes","Yes","Yes","No","No"
"Cooper's Hawk","Yes","No","No","No","No"
"Cook's Petrel","Yes","No","No","No","No"
"Coppersmith Barbet","Yes","No","No","No","No"
"Colima Pygmy-Owl","Yes","No","No","No","No"
"Corn Bunting","Yes","No","No","No","No"
"Cordilleran Canastero","Yes","No","No","No","No"
"Copper-rumped Hummingbird","Yes","No","No","No","No"
"Correndera Pipit","Yes","No","No","No","No"
"Common Ringed Plover","Yes","No","No","No","No"
"Cory's/Scopoli's Shearwater","Yes","No","No","No","No"
"Costa Rican Swift","Yes","No","No","No","No"
"Costa's Hummingbird","Yes","No","No","No","No"
"Collared Scops-Owl","Yes","No","No","No","No"
"Coscoroba Swan","Yes","No","No","No","No"
"Common Tody-Flycatcher","Yes","No","No","No","No"
"Couch's Kingbird","Yes","No","No","No","No"
"Collared Warbling Finch","Yes","No","No","No","No"
"Common Wood-Pigeon","Yes","No","No","No","No"
"California Scrub-Jay","Yes","No","No","No","No"
"Cozumel Emerald","Yes","No","No","No","No"
"Cozumel Vireo","Yes","No","No","No","No"
"Crag Chilia","Yes","No","No","No","No"
"Crane Hawk","Yes","No","No","No","No"
"Craveri's Murrelet","Yes","No","No","No","No"
"Crested Ant-Tanager","Yes","No","No","No","No"
"Creamy-breasted Canastero","Yes","No","No","No","No"
"Crimson-backed Tanager","Yes","No","No","No","No"
"Crested Black-Tyrant","Yes","No","No","No","No"
"Crimson-bellied Woodpecker","Yes","No","No","No","No"
"Crimson-collared Grosbeak","Yes","No","No","No","No"
"Crimson-collared Tanager","Yes","No","No","No","No"
"Crescent-chested Warbler","Yes","No","No","No","No"
"Crimson-crested Woodpecker","Yes","No","No","No","No"
"Crested Duck","Yes","No","No","No","No"
"Crested Goshawk","Yes","No","No","No","No"
"Crested Guan","Yes","No","No","No","No"
"Crescent Honeyeater","Yes","No","No","No","No"
"Crested Lark","Yes","No","No","No","No"
"Crested Myna","Yes","No","No","No","No"
"Crested Oropendola","Yes","No","No","No","No"
"Crested Owl","Yes","No","No","No","No"
"Crested Pigeon","Yes","No","No","No","No"
"Eastern Shrike-tit","Yes","No","No","No","No"
"Crested Tit","Yes","No","No","No","No"
"Crested Treeswift","Yes","No","No","No","No"
"Crimson-fronted Parakeet","Yes","No","No","No","No"
"Croaking Ground Dove","Yes","No","No","No","No"
"Crowned Eagle","Yes","No","No","No","No"
"Crimson Rosella","Yes","No","No","No","No"
"Crissal Thrasher","Yes","No","No","No","No"
"Crowned Woodnymph","Yes","No","No","No","No"
"Costa Rican Pygmy-Owl","Yes","No","No","No","No"
"Crested Quail-Dove","Yes","No","No","No","No"
"Crimson-rumped Toucanet","Yes","No","No","No","No"
"Crested Serpent-Eagle","Yes","No","No","No","No"
"Cream-vented Bulbul","Yes","No","No","No","No"
"Cream-winged Cinclodes","Yes","No","No","No","No"
"Chestnut-sided Shrike-Vireo","Yes","No","No","No","No"
"Chestnut-throated Huet-huet","Yes","No","No","No","No"
"Cuban Blackbird","Yes","No","No","No","No"
"Cuban Black Hawk","Yes","No","No","No","No"
"Cuban Bullfinch","Yes","No","No","No","No"
"Grand Cayman Bullfinch","Yes","No","No","No","No"
"Cuban Crow","Yes","No","No","No","No"
"Cuban Emerald","Yes","No","No","No","No"
"Cuban Gnatcatcher","Yes","No","No","No","No"
"Cuban Grassquit","Yes","No","No","No","No"
"Cuban Martin","Yes","No","No","No","No"
"Cuban Amazon","Yes","No","No","No","No"
"Cuban Pewee","Yes","No","No","No","No"
"Cuban Solitaire","Yes","No","No","No","No"
"Curve-billed Thrasher","Yes","No","No","No","No"
"Cuban Tody","Yes","No","No","No","No"
"Cuban Trogon","Yes","No","No","No","No"
"Cuban Vireo","Yes","No","No","No","No"
"Cuban Green Woodpecker","Yes","No","No","No","No"
"Cuban Palm-Crow","Yes","No","No","No","No"
"Cuban Pygmy-Owl","Yes","No","No","No","No"
"Curlew Sandpiper","Yes","No","No","No","No"
"Dark-bellied Cinclodes","Yes","No","No","No","No"
"Dark-eyed Junco","Yes","Yes","No","No","No"
"Dark-fronted Babbler","Yes","No","No","No","No"
"Dark-faced Ground-Tyrant","Yes","No","No","No","No"
"Dark-necked Tailorbird","Yes","No","No","No","No"
"Dark Pewee","Yes","No","No","No","No"
"African Darter","Yes","No","No","No","No"
"Dartford Warbler","Yes","No","No","No","No"
"Daurian Redstart","Yes","No","No","No","No"
"Dark-backed Wood-Quail","Yes","No","No","No","No"
"Des Murs's Wiretail","Yes","No","No","No","No"
"Diamond Firetail","Yes","No","No","No","No"
"Diademed Sandpiper-Plover","Yes","No","No","No","No"
"Diademed Tanager","Yes","No","No","No","No"
"Dickcissel","Yes","No","No","No","No"
"Dideric Cuckoo","Yes","No","No","No","No"
"Double-barred Finch","Yes","No","No","No","No"
"Double-banded Graytail","Yes","No","No","No","No"
"Double-banded Plover","Yes","No","No","No","No"
"Double-banded Sandgrouse","Yes","No","No","No","No"
"Double-crested Cormorant","Yes","No","No","No","No"
"Double-collared Seedeater","Yes","No","No","No","No"
"Dolphin Gull","Yes","No","No","No","No"
"Dollarbird","Yes","No","No","No","No"
"d'Orbigny's Chat-Tyrant","Yes","No","No","No","No"
"Double-toothed Kite","Yes","No","No","No","No"
"Dovekie","Yes","No","No","No","No"
"Antarctic Prion","Yes","No","No","No","No"
"Dot-winged Antwren","Yes","No","No","No","No"
"Downy Woodpecker","Yes","Yes","No","No","No"
"Double-striped Thick-knee","Yes","No","No","No","No"
"Dusky-backed Jacamar","Yes","No","No","No","No"
"Dusky-capped Flycatcher","Yes","No","No","No","No"
"Dusky-faced Tanager","Yes","No","No","No","No"
"Dusky-legged Guan","Yes","No","No","No","No"
"Dull-mantled Antbird","Yes","No","No","No","No"
"Dunlin","Yes","No","No","No","No"
"Dunnock","Yes","No","No","No","No"
"Dusky Antbird","Yes","No","No","No","No"
"Dusky Flycatcher","Yes","Yes","No","No","No"
"Dusky Fulvetta","Yes","No","No","No","No"
"Dusky Grouse","Yes","No","No","No","No"
"Dusky Hummingbird","Yes","No","No","No","No"
"Dusky Nightjar","Yes","No","No","No","No"
"Dusky Robin","Yes","No","No","No","No"
"Dusky Tapaculo","Yes","No","No","No","No"
"Dusky Warbler","Yes","No","No","No","No"
"Dusky Woodswallow","Yes","No","No","No","No"
"Dusky-tailed Canastero","Yes","No","No","No","No"
"Dwarf Jay","Yes","No","No","No","No"
"Eared Dove","Yes","No","No","No","No"
"Eared Grebe","Yes","No","No","No","No"
"Eared Quetzal","Yes","No","No","No","No"
"Eastern Bluebird","Yes","Yes","No","No","No"
"Eastern Kingbird","Yes","Yes","No","Yes","No"
"Eastern Marsh Harrier","Yes","No","No","No","No"
"Eastern Meadowlark","Yes","No","No","No","No"
"Eastern Screech-Owl","Yes","No","No","No","No"
"Eastern Phoebe","Yes","Yes","No","No","No"
"Eastern Rosella","Yes","No","No","No","No"
"Eastern Spinebill","Yes","No","No","No","No"
"Eastern Towhee","Yes","Yes","Yes","No","No"
"Eastern Whipbird","Yes","No","No","No","No"
"Eastern Whip-poor-will","Yes","No","No","No","No"
"Eastern Wood-Pewee","Yes","Yes","No","No","No"
"Eastern Yellow Wagtail","Yes","No","No","No","No"
"Ecuadorian Ground Dove","Yes","No","No","No","No"
"Ecuadorian Thrush","Yes","No","No","No","No"
"Egyptian Goose","Yes","No","No","No","No"
"Egyptian Vulture","Yes","No","No","No","No"
"Elegant Crested-Tinamou","Yes","No","No","No","No"
"Elegant Euphonia","Yes","No","No","No","No"
"Eleonora's Falcon","Yes","No","No","No","No"
"Elegant Quail","Yes","No","No","No","No"
"Elegant Tern","Yes","No","No","No","No"
"Elegant Trogon","Yes","No","No","No","No"
"Elf Owl","Yes","No","No","No","No"
"Elfin-woods Warbler","Yes","No","No","No","No"
"Emerald-chinned Hummingbird","Yes","No","No","No","No"
"Asian Emerald Dove","Yes","No","No","No","No"
"Emerald Tanager","Yes","No","No","No","No"
"Emperor Goose","Yes","No","No","No","No"
"Emu","Yes","No","No","No","No"
"Epaulet Oriole","Yes","No","No","No","No"
"Variable Oriole","Yes","No","No","No","No"
"Emerald-spotted Wood-Dove","Yes","No","No","No","No"
"Eurasian Three-toed Woodpecker","Yes","No","No","No","No"
"European Bee-eater","Yes","No","No","No","No"
"Eurasian Collared-Dove","Yes","No","No","No","No"
"Eurasian Golden Oriole","Yes","No","No","No","No"
"European Golden-Plover","Yes","No","No","No","No"
"European Honey-buzzard","Yes","No","No","No","No"
"Euler's Flycatcher","Yes","No","No","No","No"
"European Pied Flycatcher","Yes","No","No","No","No"
"Eurasian Blackbird","Yes","No","No","No","No"
"Eurasian Coot","Yes","No","No","No","No"
"Eurasian Crag-Martin","Yes","No","No","No","No"
"Eurasian Curlew","Yes","No","No","No","No"
"European Greenfinch","Yes","No","No","No","No"
"Eurasian Griffon","Yes","No","No","No","No"
"Eurasian Jay","Yes","No","No","No","No"
"Eurasian Kestrel","Yes","No","No","No","No"
"Eurasian Linnet","Yes","No","No","No","No"
"Eurasian Magpie","Yes","No","No","No","No"
"Eurasian Nightjar","Yes","No","No","No","No"
"Northern/Southern Nutcracker","Yes","No","No","No","No"
"Eurasian Oystercatcher","Yes","No","No","No","No"
"European Robin","Yes","No","No","No","No"
"European Roller","Yes","No","No","No","No"
"European Serin","Yes","No","No","No","No"
"European Shag","Yes","No","No","No","No"
"Eurasian Sparrowhawk","Yes","No","No","No","No"
"Eurasian Spoonbill","Yes","No","No","No","No"
"European Starling","Yes","Yes","No","No","No"
"Common Reed Warbler","Yes","No","No","No","No"
"Eurasian Wigeon","Yes","No","No","No","No"
"Eurasian Woodcock","Yes","No","No","No","No"
"Eurasian Wryneck","Yes","No","No","No","No"
"European Turtle-Dove","Yes","No","No","No","No"
"Eurasian Tree Sparrow","Yes","No","No","No","No"
"Evening Grosbeak","Yes","Yes","Yes","No","No"
"Eye-ringed Flatbill","Yes","No","No","No","No"
"Fawn-breasted Tanager","Yes","No","No","No","No"
"Far Eastern Curlew","Yes","No","No","No","No"
"Fairy Martin","Yes","No","No","No","No"
"Fairy Pitta","Yes","No","No","No","No"
"Fairy Prion","Yes","No","No","No","No"
"Australian Fairy Tern","Yes","No","No","No","No"
"Falcated Duck","Yes","No","No","No","No"
"Fasciated Antshrike","Yes","No","No","No","No"
"Fasciated Wren","Yes","No","No","No","No"
"Fan-tailed Cuckoo","Yes","No","No","No","No"
"Fasciated Tiger-Heron","Yes","No","No","No","No"
"Fan-tailed Warbler","Yes","No","No","No","No"
"Ferruginous Pygmy-Owl","Yes","No","No","No","No"
"Ferruginous Duck","Yes","No","No","No","No"
"Ferruginous Flycatcher","Yes","No","No","No","No"
"Ferruginous Hawk","Yes","No","No","No","No"
"New Zealand Fernbird","Yes","No","No","No","No"
"Fiery-billed Aracari","Yes","No","No","No","No"
"Fire-breasted Flowerpecker","Yes","No","No","No","No"
"Fire-eyed Diucon","Yes","No","No","No","No"
"Field Sparrow","Yes","Yes","Yes","No","No"
"Fish Crow","Yes","No","No","No","No"
"Five-striped Sparrow","Yes","No","No","No","No"
"Fiery-throated Hummingbird","Yes","No","No","No","No"
"Flammulated Flycatcher","Yes","No","No","No","No"
"Flammulated Owl","Yes","No","No","No","No"
"Flame Robin","Yes","No","No","No","No"
"Flame-colored Tanager","Yes","No","No","No","No"
"Flesh-footed Shearwater","Yes","No","No","No","No"
"Flightless Steamer-Duck","Yes","No","No","No","No"
"Flame-rumped Tanager","Yes","No","No","No","No"
"Florida Scrub-Jay","Yes","No","No","No","No"
"Flame-throated Warbler","Yes","No","No","No","No"
"Fluttering Shearwater","Yes","No","No","No","No"
"Flying Steamer-Duck","Yes","No","No","No","No"
"Forest Elaenia","Yes","No","No","No","No"
"Taiwan Blue-Magpie","Yes","No","No","No","No"
"Forest Raven","Yes","No","No","No","No"
"Forster's Tern","Yes","No","No","No","No"
"Forest Thrush","Yes","No","No","No","No"
"Forest Wagtail","Yes","No","No","No","No"
"Fork-tailed Drongo","Yes","No","No","No","No"
"Fork-tailed Flycatcher","Yes","No","No","No","No"
"Fork-tailed Sunbird","Yes","No","No","No","No"
"Pacific Swift","Yes","No","No","No","No"
"Taiwan Whistling-Thrush","Yes","No","No","No","No"
"Fox Sparrow","Yes","Yes","Yes","No","No"
"Franklin's Gull","Yes","No","No","No","No"
"Fork-tailed Palm Swift","Yes","No","No","No","No"
"Fork-tailed Storm-Petrel","Yes","No","No","No","No"
"Fulvous Owl","Yes","No","No","No","No"
"Fuscous Flycatcher","Yes","No","No","No","No"
"Fulvous-vented Euphonia","Yes","No","No","No","No"
"Fulvous Whistling-Duck","Yes","No","No","No","No"
"Gadwall","Yes","No","No","No","Yes"
"Gang-gang Cockatoo","Yes","No","No","No","No"
"Galah","Yes","No","No","No","No"
"Gambel's Quail","Yes","No","No","No","No"
"Garden Emerald","Yes","No","No","No","No"
"Garganey","Yes","No","No","No","No"
"Green-and-rufous Kingfisher","Yes","No","No","No","No"
"Gartered Trogon","Yes","No","No","No","No"
"Garnet-throated Hummingbird","Yes","No","No","No","No"
"Great Black-backed Gull","Yes","No","No","No","No"
"Green-breasted Mountain-gem","Yes","No","No","No","No"
"Gray-breasted Wood-Wren","Yes","No","No","No","No"
"Golden-cheeked Warbler","Yes","No","No","No","No"
"Gray-crowned Palm-Tanager","Yes","No","No","No","No"
"Gray-crowned Rosy-Finch","Yes","No","No","No","No"
"Golden-crowned Warbler","Yes","No","No","No","No"
"Gray-fronted Quail-Dove","Yes","No","No","No","No"
"Giant Conebill","Yes","No","No","No","No"
"Giant Coot","Yes","No","No","No","No"
"Giant Cowbird","Yes","No","No","No","No"
"Giant Hummingbird","Yes","No","No","No","No"
"Giant Kingbird","Yes","No","No","No","No"
"Giant Wren","Yes","No","No","No","No"
"Gilded Barbet","Yes","No","No","No","No"
"Gilded Flicker","Yes","No","No","No","No"
"Gila Woodpecker","Yes","No","No","No","No"
"Glaucous Gull","Yes","No","No","No","No"
"Glaucous Tanager","Yes","No","No","No","No"
"Glossy Black-Cockatoo","Yes","No","No","No","No"
"Glittering-bellied Emerald","Yes","No","No","No","No"
"Glossy Ibis","Yes","No","No","No","No"
"Glaucous-winged Gull","Yes","No","No","No","No"
"Green-breasted Mango","Yes","No","No","No","No"
"Green-backed Trogon","Yes","No","No","No","No"
"Green-tailed Towhee","Yes","No","No","No","No"
"Green-winged Teal","Yes","No","No","No","No"
"Golden-browed Chlorophonia","Yes","No","No","No","No"
"Golden-bellied Flycatcher","Yes","No","No","No","No"
"Golden-bellied Gerygone","Yes","No","No","No","No"
"Golden-browed Warbler","Yes","No","No","No","No"
"Cuzco Warbler","Yes","No","No","No","No"
"Choco Warbler","Yes","No","No","No","No"
"Golden-crowned Emerald","Yes","No","No","No","No"
"Golden-crowned Kinglet","Yes","Yes","Yes","No","No"
"Golden-collared Manakin","Yes","No","No","No","No"
"Golden-crowned Sparrow","Yes","Yes","No","No","No"
"Golden-crowned Spadebill","Yes","No","No","No","No"
"Golden-chevroned Tanager","Yes","No","No","No","No"
"Golden-cheeked Woodpecker","Yes","No","No","No","No"
"Golden-fronted Greenlet","Yes","No","No","No","No"
"Golden-faced Tyrannulet","Yes","No","No","No","No"
"Golden-fronted Woodpecker","Yes","No","No","No","No"
"Golden-green Woodpecker","Yes","No","No","No","No"
"Golden-headed Cisticola","Yes","No","No","No","No"
"Golden-headed Manakin","Yes","No","No","No","No"
"Golden-hooded Tanager","Yes","No","No","No","No"
"Goldcrest","Yes","No","No","No","No"
"Golden Eagle","Yes","No","No","No","No"
"Goliath Heron","Yes","No","No","No","No"
"Golden Swallow","Yes","No","No","No","No"
"Golden Tanager","Yes","No","No","No","No"
"Golden Vireo","Yes","No","No","No","No"
"Golden-naped Woodpecker","Yes","No","No","No","No"
"Golden-olive Woodpecker","Yes","No","No","No","No"
"Golden-plumed Parakeet","Yes","No","No","No","No"
"Gorgeted Sunangel","Yes","No","No","No","No"
"Gold-ringed Tanager","Yes","No","No","No","No"
"Mrs. Gould's Sunbird","Yes","No","No","No","No"
"Golden-winged Warbler","Yes","Yes","Yes","No","No"
"Greater Antillean Bullfinch","Yes","No","No","No","No"
"Greater Antillean Elaenia","Yes","No","No","No","No"
"Graylag Goose","Yes","No","No","No","No"
"Greater Antillean Grackle","Yes","No","No","No","No"
"Gray Heron","Yes","No","No","No","No"
"Cryptic Honeyeater","Yes","No","No","No","No"
"Grayish Miner","Yes","No","No","No","No"
"Hispaniolan Nightjar","Yes","No","No","No","No"
"Hispaniolan Oriole","Yes","No","No","No","No"
"Cuban Oriole","Yes","No","No","No","No"
"Bahama Oriole","Yes","No","No","No","No"
"Puerto Rican Oriole","Yes","No","No","No","No"
"Grayish Piculet","Yes","No","No","No","No"
"Cinnamon-bellied Saltator","Yes","No","No","No","No"
"Olive-gray Saltator","Yes","No","No","No","No"
"Grasshopper Sparrow","Yes","Yes","No","Yes","No"
"Gray Thrasher","Yes","No","No","No","No"
"Gray Trembler","Yes","No","No","No","No"
"Grace's Warbler","Yes","No","No","No","No"
"Groove-billed Ani","Yes","No","No","No","No"
"Green-backed Camaroptera","Yes","No","No","No","No"
"Gray-breasted Crake","Yes","No","No","No","No"
"Green-backed Firecrown","Yes","No","No","No","No"
"Great Black Hawk","Yes","No","No","No","No"
"Great Blue Heron","Yes","No","No","No","No"
"Green-backed Sparrow","Yes","No","No","No","No"
"Green-backed Tit","Yes","No","No","No","No"
"Gray-breasted Woodpecker","Yes","No","No","No","No"
"Gray-barred Wren","Yes","No","No","No","No"
"Gray-collared Becard","Yes","No","No","No","No"
