"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Australian Ibis","Yes","No","No","No","No"
"Nankeen Kestrel","Yes","No","No","No","No"
"Black-shouldered Kite","Yes","No","No","No","No"
"Australian Magpie","Yes","No","No","No","No"
"Austral Negrito","Yes","No","No","No","No"
"Austral Parakeet","Yes","No","No","No","No"
"Australian Pipit","Yes","No","No","No","No"
"New Zealand Pipit","Yes","No","No","No","No"
"Austral Rail","Yes","No","No","No","No"
"Australian Raven","Yes","No","No","No","No"
"Australian Shelduck","Yes","No","No","No","No"
"Australasian Shoveler","Yes","No","No","No","No"
"Austral Thrush","Yes","No","No","No","No"
"Azara's Spinetail","Yes","No","No","No","No"
"Azure-crowned Hummingbird","Yes","No","No","No","No"
"Azure-hooded Jay","Yes","No","No","No","No"
"Azure-rumped Tanager","Yes","No","No","No","No"
"Azure-shouldered Tanager","Yes","No","No","No","No"
"Aztec Thrush","Yes","No","No","No","No"
"Azure Kingfisher","Yes","No","No","No","No"
"Iberian Magpie","Yes","No","No","No","No"
"Bay-breasted Warbler","Yes","Yes","Yes","No","No"
"Band-backed Wren","Yes","No","No","No","No"
"Bare-crowned Antbird","Yes","No","No","No","No"
"Bar-crested Antshrike","Yes","No","No","No","No"
"Black-and-chestnut Eagle","Yes","No","No","No","No"
"Bachman's Sparrow","Yes","No","No","No","No"
"Bare-eyed Pigeon","Yes","No","No","No","No"
"Spectacled Thrush","Yes","No","No","No","No"
"Bare-faced Curassow","Yes","No","No","No","No"
"Barred Forest-Falcon","Yes","No","No","No","No"
"Bare-faced Ibis","Yes","No","No","No","No"
"Blue-and-gold Tanager","Yes","No","No","No","No"
"Black-and-gold Tanager","Yes","No","No","No","No"
"Bahama Mockingbird","Yes","No","No","No","No"
"Bahama Swallow","Yes","No","No","No","No"
"Bay-headed Tanager","Yes","No","No","No","No"
"Bahama Woodstar","Yes","No","No","No","No"
"Bahama Yellowthroat","Yes","No","No","No","No"
"Baird's Flycatcher","Yes","No","No","No","No"
"Baird's Sandpiper","Yes","No","No","No","No"
"Baird's Sparrow","Yes","No","No","Yes","No"
"Baird's Trogon","Yes","No","No","No","No"
"Bald Eagle","Yes","No","No","No","No"
"Baltimore Oriole","Yes","Yes","No","No","No"
"Bare-legged Owl","Yes","No","No","No","No"
"Balearic Shearwater","Yes","No","No","No","No"
"Bananaquit","Yes","No","No","No","No"
"Bank Myna","Yes","No","No","No","No"
"Banded Quail","Yes","No","No","No","No"
"Bank Swallow","Yes","Yes","No","No","No"
"Bare-necked Umbrellabird","Yes","No","No","No","No"
"Banded Woodpecker","Yes","No","No","No","No"
"Banded Wren","Yes","No","No","No","No"
"Barred Antshrike","Yes","No","No","No","No"
"Barred Becard","Yes","No","No","No","No"
"Barbados Bullfinch","Yes","No","No","No","No"
"Barred Buttonquail","Yes","No","No","No","No"
"Barrow's Goldeneye","Yes","No","No","No","No"
"Barnacle Goose","Yes","No","No","No","No"
"Barred Hawk","Yes","No","No","No","No"
"Barred Parakeet","Yes","No","No","No","No"
"Barred Puffbird","Yes","No","No","No","No"
"Barn Swallow","Yes","Yes","No","No","No"
"Band-rumped Swift","Yes","No","No","No","No"
"Barbuda Warbler","Yes","No","No","No","No"
"Bar-shouldered Dove","Yes","No","No","No","No"
"Balsas Screech-Owl","Yes","No","No","No","No"
"Band-tailed Barbthroat","Yes","No","No","No","No"
"Bare-throated Bellbird","Yes","No","No","No","No"
"Band-tailed Earthcreeper","Yes","No","No","No","No"
"Bateleur","Yes","No","No","No","No"
"Bat Falcon","Yes","No","No","No","No"
"Bar-tailed Godwit","Yes","No","No","No","No"
"Band-tailed Pigeon","Yes","No","No","No","No"
"Band-tailed Seedeater","Yes","No","No","No","No"
"Black-and-white Becard","Yes","No","No","No","No"
"Black-and-white Hawk-Eagle","Yes","No","No","No","No"
"Blue-and-white Mockingbird","Yes","No","No","No","No"
"Band-winged Nightjar","Yes","No","No","No","No"
"Tschudi's Nightjar","Yes","No","No","No","No"
"Bar-winged Oriole","Yes","No","No","No","No"
"Black-and-white Owl","Yes","No","No","No","No"
"Blue-and-white Swallow","Yes","No","No","No","No"
"Black-and-white Warbler","Yes","Yes","Yes","No","No"
"Black-and-yellow Silky-flycatcher","Yes","No","No","No","No"
"Blue-and-yellow Macaw","Yes","No","No","No","No"
"Black-and-yellow Tanager","Yes","No","No","No","No"
"Blue-and-yellow Tanager","Yes","No","No","No","No"
"Bay Wren","Yes","No","No","No","No"
"Buff-browed Foliage-gleaner","Yes","No","No","No","No"
"Black-billed Nightingale-Thrush","Yes","No","No","No","No"
"Black-bellied Whistling-Duck","Yes","No","No","No","No"
"Black-breasted Wood-Quail","Yes","No","No","No","No"
"Black-cheeked Ant-Tanager","Yes","No","No","No","No"
"Black-chested Buzzard-Eagle","Yes","No","No","No","No"
"Blue-crowned Hanging-Parrot","Yes","No","No","No","No"
"Black-crowned Night Heron","Yes","No","No","No","No"
"Black-crowned Palm-Tanager","Yes","No","No","No","No"
"Black-capped Pygmy-Tyrant","Yes","No","No","No","No"
"Brown-capped Rosy-Finch","Yes","No","No","No","No"
"Buffy-crowned Wood-Partridge","Yes","No","No","No","No"
"Bearded Bellbird","Yes","No","No","No","No"
"Beautiful Hummingbird","Yes","No","No","No","No"
"Beautiful Woodpecker","Yes","No","No","No","No"
"Bee Hummingbird","Yes","No","No","No","No"
"Belted Flycatcher","Yes","No","No","No","No"
"Belcher's Gull","Yes","No","No","No","No"
"Belted Kingfisher","Yes","Yes","No","No","No"
"Bell Miner","Yes","No","No","No","No"
"Bell's Sparrow","Yes","No","No","No","No"
"Bell's Vireo","Yes","No","No","No","No"
"Belding's Yellowthroat","Yes","No","No","No","No"
"Bengal Bushlark","Yes","No","No","No","No"
"Bendire's Thrasher","Yes","No","No","No","No"
"Black-breasted Weaver","Yes","No","No","No","No"
"Berylline Hummingbird","Yes","No","No","No","No"
"Berthelot's Pipit","Yes","No","No","No","No"
"Bearded Screech-Owl","Yes","No","No","No","No"
"Besra","Yes","No","No","No","No"
"Bearded Wood-Partridge","Yes","No","No","No","No"
"Black-eared Wood-Quail","Yes","No","No","No","No"
"Bewick's Wren","Yes","No","No","No","No"
"Brownish-flanked Bush Warbler","Yes","No","No","No","No"
"Buff-fronted Foliage-gleaner","Yes","No","No","No","No"
"Bare-faced Ground Dove","Yes","No","No","No","No"
"Black-fronted Ground-Tyrant","Yes","No","No","No","No"
"Black-fronted Piping-Guan","Yes","No","No","No","No"
"Buff-fronted Quail-Dove","Yes","No","No","No","No"
"Black-headed Nightingale-Thrush","Yes","No","No","No","No"
"Black-hooded Sierra Finch","Yes","No","No","No","No"
"Black-headed Tody-Flycatcher","Yes","No","No","No","No"
"Bicolored Antbird","Yes","No","No","No","No"
"Bicolored Conebill","Yes","No","No","No","No"
"Bicolored Hawk","Yes","No","No","No","No"
"Chilean Hawk","Yes","No","No","No","No"
"Bicknell's Thrush","Yes","No","No","No","No"
"Bicolored Wren","Yes","No","No","No","No"
"Black-browed Albatross","Yes","No","No","No","No"
"Black-billed Cuckoo","Yes","Yes","Yes","No","No"
"Black-billed Magpie","Yes","Yes","No","No","No"
"Black-bellied Plover","Yes","No","No","No","No"
"Black-billed Shrike-Tyrant","Yes","No","No","No","No"
"Black-chested Snake-Eagle","Yes","No","No","No","No"
"Blackburnian Warbler","Yes","Yes","Yes","No","No"
"Black-backed Woodpecker","Yes","Yes","Yes","No","No"
"Black-capped Chickadee","Yes","Yes","Yes","No","No"
"Black-capped Donacobius","Yes","No","No","No","No"
"Black-capped Gnatcatcher","Yes","No","No","No","No"
"Black-chinned Hummingbird","Yes","No","No","No","No"
"Black-cowled Oriole","Yes","No","No","No","No"
"Black-chinned Sparrow","Yes","No","No","No","No"
"Black-collared Starling","Yes","No","No","No","No"
"Black-capped Vireo","Yes","No","No","No","No"
"Black-footed Albatross","Yes","No","No","No","No"
"Mayan Antthrush","Yes","No","No","No","No"
"Masked Bunting","Yes","No","No","No","No"
"Black-faced Cuckooshrike","Yes","No","No","No","No"
"Black-faced Grassquit","Yes","No","No","No","No"
"Black-faced Ibis","Yes","No","No","No","No"
"Andean Ibis","Yes","No","No","No","No"
"Black-headed Berryeater","Yes","No","No","No","No"
"Black-headed Grosbeak","Yes","No","No","No","No"
"Black-headed Gull","Yes","No","No","No","No"
"Nanday Parakeet","Yes","No","No","No","No"
"Black-legged Kittiwake","Yes","No","No","No","No"
"Yellow-throated Toucan","Yes","No","No","No","No"
"Black-necked Stilt","Yes","No","No","No","No"
"Blackpoll Warbler","Yes","Yes","Yes","No","No"
"Black Rosy-Finch","Yes","No","No","No","No"
"Black-rumped Flameback","Yes","No","No","No","No"
"Black-rumped Waxbill","Yes","No","No","No","No"
"Black-winged Kite","Yes","No","No","No","No"
"Black-throated Flowerpiercer","Yes","No","No","No","No"
"Black-tailed Gnatcatcher","Yes","No","No","No","No"
"Black-tailed Gull","Yes","No","No","No","No"
"Black-throated Sparrow","Yes","No","No","No","No"
"Northern Black-throated Trogon","Yes","No","No","No","No"
"Black-vented Oriole","Yes","No","No","No","No"
"Black-vented Shearwater","Yes","No","No","No","No"
"Black-winged Cuckooshrike","Yes","No","No","No","No"
"Black-winged Petrel","Yes","No","No","No","No"
